asin,snapshot_ts,total_reviews,title,price,bsr,category_path,rating,review_count,captured_at
B0DCN52TQH,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0B7WKH98S,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B0D4ZC4XMT,20250920_135542,0,,,,Wireless Headphones,,,2025-09-20T16:59:36
B08B477BHS,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0DM9NJJ8L,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0DLKB5V35,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0CD1FHLMH,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0DWX8YBKK,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B083P1HG9S,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B07Z8J429C,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0BH4KKZB4,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0CRRRFZN5,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B01LDVQIF0,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0BVRJXH27,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0CGMV5TMR,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B00QHOCTG6,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0B75MQJQR,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0DJW5G283,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0C3HCD34R,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B08HMWZBXC,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0BS1QCFHX,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0CQKMWNHQ,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0CT9SBWC9,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0DP8WJ5BN,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B09S8XP2J2,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0C6KFZC9Z,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0CTB1BM3P,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0DMP36MVC,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0BH4HYM6C,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0CMFXR4W5,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0D4Z9C562,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B085899TQ9,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0BJSFSNKT,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0CVX9PSL9,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B07Z8HNKKT,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0DPK22VCQ,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0D2D75VNY,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0C8PSMPTH,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0D5Y2SG6P,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B00NG57H4S,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
B0CRTYZG5C,20250920_140612,0,,,,Wireless Headphones,,,2025-09-20T17:11:20
