asin,date,review_count,avg_sentiment,pos_cnt,neut_cnt,neg_cnt
B07Z8J429C,2022-09-07,1,0.143,0,1,0
B07Z8J429C,2022-09-12,1,0.079,0,1,0
B07Z8J429C,2022-09-25,1,0.353,1,0,0
B07Z8J429C,2022-09-27,1,0.248,0,1,0
B07Z8J429C,2022-09-29,1,0.168,0,1,0
B07Z8J429C,2022-10-01,1,0.25,0,1,0
B07Z8J429C,2022-11-22,1,0.0,0,1,0
B07Z8J429C,2022-11-29,1,0.108,0,1,0
B07Z8J429C,2022-12-26,1,-0.225,0,1,0
B07Z8J429C,2023-01-04,1,0.9,1,0,0
B07Z8J429C,2023-01-18,1,0.5,1,0,0
B07Z8J429C,2023-02-09,1,0.206,0,1,0
B07Z8J429C,2023-02-16,1,0.433,1,0,0
B07Z8J429C,2023-02-18,1,0.021,0,1,0
B07Z8J429C,2023-03-13,1,0.25,0,1,0
B07Z8J429C,2023-03-31,1,0.25,0,1,0
B07Z8J429C,2023-04-13,1,0.475,1,0,0
B07Z8J429C,2023-04-19,1,0.25,0,1,0
B07Z8J429C,2023-05-01,1,0.13,0,1,0
B07Z8J429C,2023-06-10,1,0.0,0,1,0
B07Z8J429C,2023-06-28,1,0.341,1,0,0
B07Z8J429C,2023-07-04,1,0.304,1,0,0
B07Z8J429C,2023-07-13,2,0.1885,1,1,0
B07Z8J429C,2023-08-04,1,1.0,1,0,0
B07Z8J429C,2023-08-24,1,0.9,1,0,0
B07Z8J429C,2023-09-01,1,0.0,0,1,0
B07Z8J429C,2023-09-17,1,0.148,0,1,0
B07Z8J429C,2023-09-20,1,0.5,1,0,0
B07Z8J429C,2023-10-02,1,0.172,0,1,0
B07Z8J429C,2023-10-17,1,0.381,1,0,0
B07Z8J429C,2023-11-04,1,0.333,1,0,0
B07Z8J429C,2023-11-09,1,-0.75,0,0,1
B07Z8J429C,2023-11-12,1,-0.6,0,0,1
B07Z8J429C,2023-11-14,1,0.028,0,1,0
B07Z8J429C,2023-11-16,1,0.625,1,0,0
B07Z8J429C,2024-01-19,1,0.069,0,1,0
B07Z8J429C,2024-02-28,1,0.075,0,1,0
B07Z8J429C,2024-03-04,1,-0.333,0,0,1
B07Z8J429C,2024-03-11,1,0.0,0,1,0
B07Z8J429C,2024-03-25,1,-0.105,0,1,0
B07Z8J429C,2024-03-27,1,-0.012,0,1,0
B07Z8J429C,2024-03-29,1,0.14,0,1,0
B07Z8J429C,2024-04-17,1,0.603,1,0,0
B07Z8J429C,2024-05-28,1,0.16,0,1,0
B07Z8J429C,2024-06-02,1,-0.083,0,1,0
B07Z8J429C,2024-06-06,1,0.225,0,1,0
B07Z8J429C,2024-06-21,1,0.0,0,1,0
B07Z8J429C,2024-06-23,1,0.622,1,0,0
B07Z8J429C,2024-07-27,1,-0.05,0,1,0
B07Z8J429C,2024-08-21,1,0.489,1,0,0
B07Z8J429C,2024-08-24,1,-0.4,0,0,1
B07Z8J429C,2024-08-26,1,0.217,0,1,0
B07Z8J429C,2024-09-08,1,0.3,0,1,0
B07Z8J429C,2024-09-09,1,0.166,0,1,0
B07Z8J429C,2024-09-14,1,0.7,1,0,0
B07Z8J429C,2024-11-15,1,0.167,0,1,0
B07Z8J429C,2024-11-19,1,0.5,1,0,0
B07Z8J429C,2024-11-22,1,0.228,0,1,0
B07Z8J429C,2024-11-29,1,0.7,1,0,0
B07Z8J429C,2024-12-03,1,-0.071,0,1,0
B07Z8J429C,2024-12-13,1,-0.142,0,1,0
B07Z8J429C,2024-12-20,1,0.078,0,1,0
B07Z8J429C,2025-01-08,1,0.05,0,1,0
B07Z8J429C,2025-02-10,1,-0.3,0,1,0
B07Z8J429C,2025-02-15,1,0.226,0,1,0
B07Z8J429C,2025-04-05,1,0.034,0,1,0
B07Z8J429C,2025-04-24,1,-0.142,0,1,0
B07Z8J429C,2025-06-01,1,0.26,0,1,0
B07Z8J429C,2025-07-24,1,0.4,1,0,0
B07Z8J429C,2025-07-30,2,0.2645,1,1,0
B07Z8J429C,2025-08-01,1,0.371,1,0,0
B07Z8J429C,2025-08-09,1,0.0,0,1,0
B07Z8J429C,2025-08-18,1,0.0,0,1,0
B07Z8J429C,2025-08-31,1,0.0,0,1,0
B07Z8J429C,2025-09-05,1,0.47,1,0,0
B07Z8J429C,2025-09-07,1,0.417,1,0,0
B07Z8J429C,2025-09-13,1,0.0,0,1,0
B07Z8J429C,2025-09-29,1,0.0,0,1,0
B083P1HG9S,2025-05-15,2,0.1815,0,2,0
